time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,breakdown_topic,breakdown,num_new_plans,pc_new_plans
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity major,Black/African/Caribbean/Black British,6,1.801801802
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity major,Mixed/Multiple ethnic groups,10,3.003003003
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity major,Other ethnic group,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity major,Unknown,18,5.405405405
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity major,White,287,86.18618619
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity minor,African,6,1.801801802
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity minor,Any other Asian background,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity minor,Any other Black/African/Caribbean background,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity minor,Any other Mixed/Multiple ethnic background,3,0.900900901
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity minor,Any other White background,3,0.900900901
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity minor,Any other ethnic group,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity minor,Bangladeshi,8,2.402402402
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity minor,Caribbean,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity minor,Chinese,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity minor,English/Welsh/Scottish/Northern Irish/British,282,84.68468468
