time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,age,ehcp_or_statement,num_new_plans,pc_new_plans
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Age 5 to 10,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Age 5 to 10,Total,226,41.774492
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Total,EHCP,541,100
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Total,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Total,Total,541,100
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Under 5,EHCP,115,21.256932
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Under 5,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Under 5,Total,115,21.256932
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Age 11 to 15,EHCP,169,28.547297
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Age 11 to 15,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Age 11 to 15,Total,169,28.547297
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Age 16 to 19,EHCP,9,1.52027
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Age 16 to 19,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Age 16 to 19,Total,9,1.52027
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Age 20 to 25,EHCP,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Age 20 to 25,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Age 20 to 25,Total,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Age 5 to 10,EHCP,261,44.087838
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Age 5 to 10,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Age 5 to 10,Total,261,44.087838
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Total,EHCP,592,100
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Total,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Total,Total,592,100
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Under 5,EHCP,153,25.844595
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Under 5,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Under 5,Total,153,25.844595
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Age 11 to 15,EHCP,109,22.474227
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Age 11 to 15,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Age 11 to 15,Total,109,22.474227
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Age 16 to 19,EHCP,24,4.948454
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Age 16 to 19,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Age 16 to 19,Total,24,4.948454
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Age 20 to 25,EHCP,4,0.824742
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Age 20 to 25,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Age 20 to 25,Total,4,0.824742
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Age 5 to 10,EHCP,220,45.360825
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Age 5 to 10,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Age 5 to 10,Total,220,45.360825
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Total,EHCP,485,100
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Total,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Total,Total,485,100
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Under 5,EHCP,128,26.391753
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Under 5,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Under 5,Total,128,26.391753
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Age 11 to 15,EHCP,43,21.078431
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Age 11 to 15,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Age 11 to 15,Total,43,21.078431
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Age 16 to 19,EHCP,4,1.960784
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Age 16 to 19,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Age 16 to 19,Total,4,1.960784
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Age 20 to 25,EHCP,1,0.490196
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Age 20 to 25,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Age 20 to 25,Total,1,0.490196
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Age 5 to 10,EHCP,93,45.588235
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Age 5 to 10,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Age 5 to 10,Total,93,45.588235
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Total,EHCP,204,100
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Total,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Total,Total,204,100
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Under 5,EHCP,63,30.882353
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Under 5,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Under 5,Total,63,30.882353
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Age 11 to 15,EHCP,57,24.89083
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Age 11 to 15,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Age 11 to 15,Total,57,24.89083
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Age 16 to 19,EHCP,13,5.676856
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Age 16 to 19,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Age 16 to 19,Total,13,5.676856
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Age 20 to 25,EHCP,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Age 20 to 25,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Age 20 to 25,Total,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Age 5 to 10,EHCP,96,41.921397
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Age 5 to 10,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Age 5 to 10,Total,96,41.921397
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Total,EHCP,229,100
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Total,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Total,Total,229,100
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Under 5,EHCP,63,27.510917
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Under 5,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Under 5,Total,63,27.510917
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Age 11 to 15,EHCP,68,20.42042
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Age 11 to 15,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Age 11 to 15,Total,68,20.42042
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Age 16 to 19,EHCP,7,2.102102
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Age 16 to 19,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Age 16 to 19,Total,7,2.102102
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Age 20 to 25,EHCP,1,0.3003
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Age 20 to 25,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Age 20 to 25,Total,1,0.3003
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Age 5 to 10,EHCP,179,53.753754
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Age 5 to 10,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Age 5 to 10,Total,179,53.753754
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Total,EHCP,333,100
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Total,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Total,Total,333,100
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Under 5,EHCP,78,23.423423
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Under 5,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Under 5,Total,78,23.423423
