time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,dmo,dco,dmodcofunction
2024,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,N,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,R,R,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,R,R,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,R,R,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,R,R,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,R,R,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,R,R,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,R,R,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,R,R,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,R,R,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,R,R,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,R,R,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,R,R,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,R,R,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,R,R,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,R,R,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,R,R,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,R,R,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,R,R,z
2024,Calendar year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,R,R,z
2024,Calendar year,Local authority,E92000001,England,E13000002,Outer London,310,E09000015,Harrow,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000002,Outer London,310,E09000015,Harrow,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000002,Outer London,310,E09000015,Harrow,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000002,Outer London,310,E09000015,Harrow,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000002,Outer London,310,E09000015,Harrow,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E13000002,Outer London,310,E09000015,Harrow,Y,Y,z
