time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,age,ehcp_or_statement,num_caseload,pc_caseload,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Total,Total,4501,100,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Under 5,EHCP,136,3.02155,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Under 5,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Under 5,Total,136,3.02155,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Age 11 to 15,EHCP,1287,38.88218,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Age 11 to 15,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Age 11 to 15,Total,1287,38.88218,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Age 16 to 19,EHCP,582,17.58308,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Age 16 to 19,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Age 16 to 19,Total,582,17.58308,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Age 20 to 25,EHCP,51,1.54079,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Age 20 to 25,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Age 20 to 25,Total,51,1.54079,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Age 5 to 10,EHCP,1180,35.64955,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Age 5 to 10,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Age 5 to 10,Total,1180,35.64955,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Total,EHCP,3310,100,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Total,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Total,Total,3310,100,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Under 5,EHCP,210,6.34441,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Under 5,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,Under 5,Total,210,6.34441,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Age 11 to 15,EHCP,1009,36.43915,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Age 11 to 15,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Age 11 to 15,Total,1009,36.43915,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Age 16 to 19,EHCP,444,16.03467,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Age 16 to 19,Statement,z,z,,,,,,,,
